episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
0,-113.12200000000007,33,0.9979733333333334,0.0,33,23,3,8.021999999999874,8
1,-33.038000000000125,33,0.9958833333333333,0.0,66,25,0,8.037999999999897,8
2,-17.998000000000033,34,0.99373,0.0,100,26,0,7.997999999999872,8
3,-54.621999999999986,32,0.9917033333333334,0.0,132,24,0,8.021999999999881,8
4,-63.036,33,0.9896133333333333,0.0,165,25,2,8.035999999999868,8
5,-33.03299999999999,33,0.9875233333333333,0.0,198,25,0,8.032999999999912,8
6,-39.21300000000008,35,0.9853066666666667,0.0,233,27,2,8.012999999999874,8
7,-2.9869999999999663,38,0.9829,0.0,271,30,3,7.986999999999874,8
8,42.091999999999956,38,0.9804933333333333,0.0,309,30,0,7.907999999999871,8
9,-3.009999999999991,36,0.9782133333333334,0.0,345,28,1,8.009999999999874,8
10,12.039999999999992,36,0.9759333333333333,0.0,381,28,0,7.95999999999989,8
11,-32.99799999999996,33,0.9738433333333333,0.0,414,25,0,7.997999999999872,8
12,-48.03200000000004,33,0.9717533333333334,0.0,447,25,1,8.031999999999874,8
13,11.97199999999998,36,0.9694733333333333,0.0,483,28,0,8.027999999999883,8
14,-93.00400000000008,29,0.9676366666666667,0.0,512,21,0,8.003999999999875,8
15,41.97499999999985,38,0.96523,0.0,550,30,0,8.024999999999874,8
16,41.971999999999994,38,0.9628233333333334,0.0,588,30,0,8.027999999999928,8
17,-3.0230000000000814,35,0.9606066666666667,0.0,623,27,0,8.022999999999861,8
18,-3.0340000000001055,35,0.95839,0.0,658,27,0,8.033999999999875,8
19,-18.01400000000004,34,0.9562366666666666,0.0,692,26,0,8.01399999999988,8
20,12.000000000000043,36,0.9539566666666667,0.0,728,28,0,7.999999999999868,8
21,-23.20799999999997,34,0.9518033333333333,0.0,762,26,0,8.007999999999875,8
22,-63.00400000000002,32,0.9497766666666667,0.0,794,24,1,8.003999999999884,8
23,-113.22000000000003,30,0.9478766666666667,0.0,824,22,2,8.019999999999872,8
24,-32.97700000000003,34,0.9457233333333334,0.0,858,26,1,7.976999999999873,8
25,-47.98099999999997,32,0.9436966666666666,0.0,890,24,0,7.9809999999998755,8
26,-138.02300000000005,33,0.9416066666666667,0.0,923,24,6,8.022999999999872,8
27,-108.01299999999998,31,0.9396433333333334,0.0,954,23,3,8.01299999999987,8
28,-3.0090000000000146,42,0.9369833333333334,0.0,996,31,4,8.008999999999874,8
29,-33.01400000000004,34,0.93483,2.033534124493599,1030,26,1,8.013999999999943,8
30,11.992999999999952,36,0.93255,1.5778918928570218,1066,28,0,8.006999999999902,8
31,-18.02400000000003,37,0.9302066666666666,1.7825355264875624,1103,29,3,8.023999999999866,8
32,-62.96899999999994,32,0.92818,1.7521652579307556,1135,24,1,7.968999999999903,8
33,-33.01399999999995,35,0.9259633333333334,1.6096991962856717,1170,27,2,8.013999999999866,8
34,-39.40399999999994,33,0.9238733333333333,1.5467931479215622,1203,25,0,8.003999999999872,8
35,-18.01899999999989,34,0.92172,1.5336747037039862,1237,26,0,8.018999999999888,8
36,-2.976999999999947,36,0.91944,1.8060480952262878,1273,28,1,7.976999999999886,8
37,-39.00400000000013,35,0.9172233333333334,1.5540005763371785,1308,27,2,8.003999999999872,8
38,-47.984999999999964,34,0.91507,0.9651155546307564,1342,26,2,7.984999999999864,8
39,-18.023000000000053,34,0.9129166666666667,1.4271328383021884,1376,26,0,8.022999999999936,8
40,-38.19799999999998,33,0.9108266666666667,1.4980675727128983,1409,25,0,7.797999999999878,8
41,-3.0300000000000153,35,0.90861,1.397354589568244,1444,27,0,8.02999999999989,8
42,-62.99600000000007,35,0.9063933333333334,1.4319246597588062,1479,27,4,7.99599999999985,8
43,26.95599999999999,37,0.90405,1.1299741685390472,1516,29,0,8.043999999999881,8
44,56.98799999999997,39,0.90158,1.4700132144822016,1555,31,0,8.011999999999878,8
45,-17.98599999999999,35,0.8993633333333333,1.7314114305708144,1590,27,1,7.985999999999864,8
46,-32.97100000000003,33,0.8972733333333334,1.5514661520719528,1623,25,0,7.970999999999911,8
47,11.985999999999876,36,0.8949933333333333,1.2721522119310167,1659,28,0,8.01399999999992,8
48,26.990000000000038,38,0.8925866666666666,1.4722630858421326,1697,30,1,8.00999999999989,8
