episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
0,-276.4940000000001,63,0.997055,0.0,63,33,23,9.983999999999833,8
1,-573.1769999999999,74,0.99354,0.0,137,38,46,12.676999999999778,8
2,-48.31899999999993,71,0.9901675,0.0,208,36,11,10.89899999999981,8
3,-174.1640000000001,78,0.9864625,0.0,286,45,28,12.873999999999775,8
4,-206.0000000000001,58,0.9837075,0.0,344,31,17,10.139999999999825,8
5,25.21799999999996,91,0.979385,0.0,435,40,10,12.661999999999784,8
6,-406.5830000000001,50,0.97701,0.0,485,27,26,8.732999999999858,8
7,-577.4720000000001,52,0.97454,0.0,537,30,40,9.051999999999852,8
8,-136.19599999999997,66,0.971405,0.0,603,35,16,10.145999999999825,8
9,-410.163,60,0.968555,0.0,663,34,32,10.282999999999825,8
10,-625.4960000000001,109,0.9633775,0.0,772,52,66,15.285999999999726,8
11,-382.7019999999999,80,0.9595775,0.0,852,45,43,12.631999999999776,8
12,-331.75300000000004,55,0.956965,0.0,907,28,22,9.58299999999984,8
13,-190.0400000000001,85,0.9529275,0.0,992,42,26,12.089999999999787,8
14,-229.88100000000009,59,0.950125,15.268051587618315,1051,28,16,9.790999999999837,8
15,-163.14200000000005,70,0.9468,15.602814780341255,1121,39,22,11.671999999999795,8
16,-490.84100000000007,94,0.942335,14.133701780567998,1215,47,51,13.870999999999752,8
17,-33.010999999999804,92,0.937965,13.040148797242537,1307,48,20,13.660999999999742,8
18,-11.851999999999954,86,0.93388,10.387931975451382,1393,45,16,13.411999999999756,8
19,-144.77599999999993,74,0.930365,12.34568378660414,1467,38,19,12.655999999999771,8
20,-223.851,100,0.925615,10.796348762512206,1567,51,36,15.070999999999719,8
21,-349.42600000000004,68,0.922385,10.827887535095215,1635,39,33,10.895999999999813,8
22,-168.9100000000001,94,0.91792,10.038119733333588,1729,50,32,15.589999999999709,8
23,-161.33500000000004,55,0.9153075,10.5514862877982,1784,32,15,10.264999999999825,8
