episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
0,-113.11799999999997,34,0.99791,0.0,34,24,4,8.017999999999873,8
1,-48.034000000000056,33,0.99582,0.0,67,25,1,8.033999999999907,8
2,-23.58900000000007,34,0.9936666666666667,0.0,101,26,0,7.988999999999873,8
3,-3.009999999999934,35,0.99145,0.0,136,27,0,8.009999999999886,8
4,-63.024,34,0.9892966666666667,0.0,170,26,3,8.023999999999866,8
5,-93.03399999999993,33,0.9872066666666667,0.0,203,24,3,8.033999999999919,8
6,-89.113,35,0.98499,0.0,238,25,3,8.012999999999874,8
7,42.01499999999996,38,0.9825833333333334,0.0,276,30,0,7.984999999999874,8
8,-2.911000000000058,36,0.9803033333333333,0.0,312,28,1,7.91099999999987,8
9,-18.021000000000086,36,0.9780233333333334,0.0,348,28,2,8.02099999999987,8
10,12.042000000000058,36,0.9757433333333333,0.0,384,28,0,7.9579999999998865,8
11,-18.006,34,0.97359,0.0,418,26,0,8.005999999999872,8
12,-78.0279999999999,32,0.9715633333333333,0.0,450,24,2,8.027999999999874,8
13,26.97700000000006,37,0.96922,0.0,487,29,0,8.022999999999891,8
14,-78.019,30,0.96732,0.0,517,22,0,8.01899999999988,8
15,-18.012000000000043,34,0.9651666666666666,0.0,551,26,0,8.011999999999869,8
16,-24.412999999999947,36,0.9628866666666667,0.0,587,28,2,8.012999999999957,8
17,26.974000000000096,38,0.96048,0.0,625,30,1,8.025999999999867,8
18,11.969000000000143,36,0.9582,0.0,661,28,0,8.030999999999871,8
19,-33.006,33,0.95611,0.0,694,25,0,8.005999999999897,8
20,-17.992999999999995,34,0.9539566666666667,0.0,728,26,0,7.99299999999987,8
21,-108.01700000000002,31,0.9519933333333334,0.0,759,23,3,8.016999999999873,8
22,-63.013999999999996,32,0.9499666666666666,0.0,791,24,1,8.01399999999989,8
23,-108.02300000000002,30,0.9480666666666666,0.0,821,22,2,8.022999999999877,8
24,-68.27700000000016,32,0.94604,0.0,853,24,1,7.976999999999878,8
25,-17.96700000000017,34,0.9438866666666667,0.0,887,26,0,7.9669999999998815,8
26,-128.22200000000004,32,0.94186,0.0,919,23,4,8.021999999999872,8
27,-63.023000000000025,32,0.9398333333333333,0.0,951,24,1,8.022999999999868,8
28,-30.409000000000106,37,0.93749,0.0,988,28,2,8.008999999999874,8
29,11.976000000000042,36,0.93521,1.763731564794268,1024,28,0,8.023999999999935,8
30,-3.0169999999999675,35,0.9329933333333333,1.6294235065579414,1059,27,0,8.016999999999904,8
31,-63.02300000000008,33,0.9309033333333333,1.5811250805854797,1092,25,2,8.022999999999868,8
